obs_date,port_id,commodity,tonnage,vessel_count,ingested_at
2019-01-01,port276,iron_ore,167612,1,2026-05-18T11:13:37Z
2019-01-01,port955,iron_ore,944064,2,2026-05-18T11:13:37Z
2019-01-01,port981,iron_ore,567538,1,2026-05-18T11:13:37Z
2019-01-02,port276,iron_ore,708270,2,2026-05-18T11:13:37Z
2019-01-02,port955,iron_ore,1461139,2,2026-05-18T11:13:37Z
2019-01-02,port981,iron_ore,334018,1,2026-05-18T11:13:37Z
2019-01-03,port276,iron_ore,165434,1,2026-05-18T11:13:37Z
2019-01-03,port955,iron_ore,1199095,2,2026-05-18T11:13:37Z
2019-01-03,port981,iron_ore,350327,1,2026-05-18T11:13:37Z
2019-01-04,port276,iron_ore,367781,2,2026-05-18T11:13:37Z
2019-01-04,port955,iron_ore,1325673,2,2026-05-18T11:13:37Z
2019-01-04,port981,iron_ore,416816,1,2026-05-18T11:13:37Z
2019-01-05,port276,iron_ore,169915,1,2026-05-18T11:13:37Z
2019-01-05,port955,iron_ore,1753875,2,2026-05-18T11:13:37Z
2019-01-05,port981,iron_ore,494821,1,2026-05-18T11:13:37Z
2019-01-06,port276,iron_ore,168737,1,2026-05-18T11:13:37Z
2019-01-06,port955,iron_ore,460007,1,2026-05-18T11:13:37Z
2019-01-06,port981,iron_ore,331453,1,2026-05-18T11:13:37Z
2019-01-07,port276,iron_ore,174298,1,2026-05-18T11:13:37Z
2019-01-07,port955,iron_ore,1480770,3,2026-05-18T11:13:37Z
2019-01-07,port981,iron_ore,183148,1,2026-05-18T11:13:37Z
2019-01-08,port276,iron_ore,343614,1,2026-05-18T11:13:37Z
2019-01-08,port955,iron_ore,1105266,2,2026-05-18T11:13:37Z
2019-01-08,port981,iron_ore,515278,1,2026-05-18T11:13:37Z
2019-01-09,port276,iron_ore,366034,1,2026-05-18T11:13:37Z
2019-01-09,port955,iron_ore,685152,2,2026-05-18T11:13:37Z
2019-01-09,port981,iron_ore,596428,1,2026-05-18T11:13:37Z
2019-01-10,port276,iron_ore,328590,1,2026-05-18T11:13:37Z
2019-01-10,port955,iron_ore,702829,1,2026-05-18T11:13:37Z
2019-01-10,port981,iron_ore,345826,1,2026-05-18T11:13:37Z
2019-01-11,port276,iron_ore,392121,2,2026-05-18T11:13:37Z
2019-01-11,port955,iron_ore,2309069,3,2026-05-18T11:13:37Z
2019-01-11,port981,iron_ore,391603,1,2026-05-18T11:13:37Z
2019-01-12,port276,iron_ore,300062,1,2026-05-18T11:13:37Z
2019-01-12,port955,iron_ore,1211574,2,2026-05-18T11:13:37Z
2019-01-12,port981,iron_ore,366501,1,2026-05-18T11:13:37Z
2019-01-13,port276,iron_ore,170771,1,2026-05-18T11:13:37Z
2019-01-13,port955,iron_ore,1593706,2,2026-05-18T11:13:37Z
2019-01-13,port981,iron_ore,503683,1,2026-05-18T11:13:37Z
2019-01-14,port276,iron_ore,212765,1,2026-05-18T11:13:37Z
2019-01-14,port955,iron_ore,912168,2,2026-05-18T11:13:37Z
2019-01-14,port981,iron_ore,338019,1,2026-05-18T11:13:37Z
2019-01-15,port276,iron_ore,382378,1,2026-05-18T11:13:37Z
2019-01-15,port955,iron_ore,1116406,2,2026-05-18T11:13:37Z
2019-01-15,port981,iron_ore,233369,1,2026-05-18T11:13:37Z
2019-01-16,port276,iron_ore,169592,1,2026-05-18T11:13:37Z
2019-01-16,port955,iron_ore,826996,2,2026-05-18T11:13:37Z
2019-01-16,port981,iron_ore,431818,1,2026-05-18T11:13:37Z
2019-01-17,port276,iron_ore,362253,2,2026-05-18T11:13:37Z
2019-01-17,port955,iron_ore,1241322,2,2026-05-18T11:13:37Z
2019-01-17,port981,iron_ore,327147,1,2026-05-18T11:13:37Z
2019-01-18,port276,iron_ore,320641,1,2026-05-18T11:13:37Z
2019-01-18,port955,iron_ore,1416863,2,2026-05-18T11:13:37Z
2019-01-18,port981,iron_ore,381361,1,2026-05-18T11:13:37Z
2019-01-19,port276,iron_ore,547947,1,2026-05-18T11:13:37Z
2019-01-19,port955,iron_ore,1247376,2,2026-05-18T11:13:37Z
2019-01-19,port981,iron_ore,717753,1,2026-05-18T11:13:37Z
2019-01-20,port276,iron_ore,197856,1,2026-05-18T11:13:37Z
2019-01-20,port955,iron_ore,1661381,3,2026-05-18T11:13:37Z
2019-01-20,port981,iron_ore,40188,1,2026-05-18T11:13:37Z
2019-01-21,port276,iron_ore,596618,2,2026-05-18T11:13:37Z
2019-01-21,port955,iron_ore,1239668,2,2026-05-18T11:13:37Z
2019-01-21,port981,iron_ore,259447,1,2026-05-18T11:13:37Z
2019-01-22,port276,iron_ore,542217,1,2026-05-18T11:13:37Z
2019-01-22,port955,iron_ore,969155,2,2026-05-18T11:13:37Z
2019-01-22,port981,iron_ore,354363,1,2026-05-18T11:13:37Z
2019-01-23,port276,iron_ore,325078,1,2026-05-18T11:13:37Z
2019-01-23,port955,iron_ore,1290483,2,2026-05-18T11:13:37Z
2019-01-24,port955,iron_ore,1193293,2,2026-05-18T11:13:37Z
2019-01-25,port955,iron_ore,770756,1,2026-05-18T11:13:37Z
2019-01-26,port955,iron_ore,1270229,2,2026-05-18T11:13:37Z
2019-01-27,port955,iron_ore,1405171,2,2026-05-18T11:13:37Z
2019-01-28,port276,iron_ore,513262,2,2026-05-18T11:13:37Z
2019-01-28,port955,iron_ore,1367877,2,2026-05-18T11:13:37Z
2019-01-28,port981,iron_ore,804307,1,2026-05-18T11:13:37Z
2019-01-29,port276,iron_ore,886340,2,2026-05-18T11:13:37Z
2019-01-29,port955,iron_ore,2079024,3,2026-05-18T11:13:37Z
2019-01-29,port981,iron_ore,378212,1,2026-05-18T11:13:37Z
2019-01-30,port276,iron_ore,619959,1,2026-05-18T11:13:37Z
2019-01-30,port955,iron_ore,873976,1,2026-05-18T11:13:37Z
2019-01-30,port981,iron_ore,534947,1,2026-05-18T11:13:37Z
2019-01-31,port276,iron_ore,486290,1,2026-05-18T11:13:37Z
2019-01-31,port955,iron_ore,1570950,2,2026-05-18T11:13:37Z
2019-01-31,port981,iron_ore,435122,1,2026-05-18T11:13:37Z
2019-02-01,port276,iron_ore,420561,1,2026-05-18T11:13:37Z
2019-02-01,port955,iron_ore,1557941,3,2026-05-18T11:13:37Z
2019-02-01,port981,iron_ore,559009,1,2026-05-18T11:13:37Z
2019-02-02,port276,iron_ore,371338,1,2026-05-18T11:13:37Z
2019-02-02,port955,iron_ore,1000316,2,2026-05-18T11:13:37Z
2019-02-02,port981,iron_ore,567972,1,2026-05-18T11:13:37Z
2019-02-03,port276,iron_ore,382449,1,2026-05-18T11:13:37Z
2019-02-03,port955,iron_ore,1129967,2,2026-05-18T11:13:37Z
2019-02-03,port981,iron_ore,381218,1,2026-05-18T11:13:37Z
2019-02-04,port276,iron_ore,708035,2,2026-05-18T11:13:37Z
