quarter_end,commodity,tonnage,is_complete,tonnage_extrapolated
2019-03-31,iron_ore,173903191,TRUE,NA
2019-06-30,iron_ore,209543051,TRUE,NA
2019-09-30,iron_ore,204640332,TRUE,NA
2019-12-31,iron_ore,205253971,TRUE,NA
2020-03-31,iron_ore,190084298,TRUE,NA
2020-06-30,iron_ore,217294480,TRUE,NA
2020-09-30,iron_ore,204783188,TRUE,NA
2020-12-31,iron_ore,212255024,TRUE,NA
2021-03-31,iron_ore,201078515,TRUE,NA
2021-06-30,iron_ore,208033108,TRUE,NA
2021-09-30,iron_ore,205566531,TRUE,NA
2021-12-31,iron_ore,215132544,TRUE,NA
2022-03-31,iron_ore,196156854,TRUE,NA
2022-06-30,iron_ore,210392388,TRUE,NA
2022-09-30,iron_ore,215078131,TRUE,NA
2022-12-31,iron_ore,222858663,TRUE,NA
2023-03-31,iron_ore,206015770,TRUE,NA
2023-06-30,iron_ore,210453284,TRUE,NA
2023-09-30,iron_ore,211643655,TRUE,NA
2023-12-31,iron_ore,220369199,TRUE,NA
2024-03-31,iron_ore,202347933,TRUE,NA
2024-06-30,iron_ore,227192853,TRUE,NA
2024-09-30,iron_ore,216463208,TRUE,NA
2024-12-31,iron_ore,218722859,TRUE,NA
2025-03-31,iron_ore,192053681,TRUE,NA
2025-06-30,iron_ore,219945303,TRUE,NA
2025-09-30,iron_ore,208464499,TRUE,NA
2025-12-31,iron_ore,222830245,TRUE,NA
2026-03-31,iron_ore,190383352,TRUE,NA
2026-06-30,iron_ore,100874144,FALSE,211168082.16937816
